data,abertura,alta,baixa,fechamento,var_abertura,media_movel_180,media_movel_240,media_movel_360,media_movel_480
1995-02-27,0.34346416324429957,0.3571711472665176,0.3399413442810689,0.3491754000483249,0.0,0.47023702530648576,0.40412653843357493,0.2903266014918339,0.21965178808170557
1995-02-28,0.34321455103670206,0.3569115735231693,0.3396942922783268,0.34892163720558317,0.0,0.46988313201790455,0.40460983029176006,0.2910177473086185,0.22020167518192768
1995-03-01,0.3429593913184151,0.3566462308788133,0.33944174966421087,0.3486622346062916,0.0,0.46954588243331885,0.4050980977296162,0.2917005529340776,0.22074702619605224
1995-03-02,0.3549519644517935,0.3549519644517935,0.32232056590219393,0.3243715746481282,0.005805720342147893,0.4780598938332325,0.41323340433790695,0.2978930483903921,0.22546320542354445
1995-03-03,0.33212910616557884,0.3353513950696026,0.31575097312662803,0.33200687052493266,-0.031311737296044,0.48939981928906595,0.4238329376901952,0.30588219443219317,0.23154173619874902
1995-03-06,0.3330216871968581,0.3383379918023559,0.3183656122750419,0.31955815435500967,-0.0001226092677516239,0.49082043258609004,0.42581219557482897,0.3076835816280381,0.23293766909824043
1995-03-07,0.3274192326734796,0.3376054003667184,0.29772859304249955,0.29869924856889696,-0.0137947335471682,0.5025742185141288,0.4370066281006986,0.31610767587272043,0.23934428752265635
1995-03-08,0.3094775752215129,0.3195817274225391,0.2781949961441676,0.2796147808947994,-0.029756322065324876,0.5200861504425699,0.4533611806834438,0.32831575867795826,0.24861944458578147
1995-03-09,0.28914788212152603,0.2995964922364941,0.25815682250528316,0.26161931100129443,-0.03088092734642886,0.536821954887754,0.46929092043707216,0.3402576935071132,0.2576919212755186
1995-03-10,0.2560358359873839,0.32164029103642167,0.2560358359873839,0.32164029103642167,-0.02694105681010597,0.5242408361085755,0.4596062972494131,0.3336571394596139,0.2527192865116216
1995-03-13,0.31004861833072345,0.3217871075969874,0.29345081946182594,0.30828264441240943,0.06324012013156306,0.5047467534637515,0.4435949243314207,0.322440123518714,0.244251205305183
1995-03-14,0.3006213989967597,0.3439885950781874,0.3006213989967597,0.33956520365787457,-0.0017220870507557334,0.49163408143050524,0.4330452595174258,0.315213300004725,0.2388016142181049
1995-03-15,0.3329622042525302,0.340235318680735,0.3202149684010282,0.32440886417901155,0.038186524715321975,0.4817383993404645,0.4252535823357398,0.3099583597530403,0.23484563265346334
1995-03-16,0.3221079172798458,0.3442984512064434,0.31945601686657416,0.3442765399992871,-0.008492673478080578,0.4778259362653296,0.4228705310748436,0.30859992013908627,0.23384489685330279
1995-03-17,0.34340666373596823,0.3459207018010652,0.3168999580496198,0.32585213574940397,0.02211260972856439,0.47615510535539607,0.42254694789911207,0.3087202007050788,0.23396323688912368
1995-03-20,0.33119102807320827,0.337612408060426,0.3159707505399345,0.3188592703637675,-0.017842148426736985,0.4832957188369383,0.4301819341135014,0.3146414652917623,0.23848013151747774
1995-03-21,0.31823387676083503,0.3364734750116544,0.31823387676083503,0.3333134230350687,-0.012307570856176004,0.48164508188794747,0.43001687020046087,0.3148515325637299,0.23866860828313655
1995-03-22,0.32926809571518784,0.3448984937700236,0.32250986898292094,0.32902710096334903,0.014896530240978539,0.47524349347603806,0.42555571513486184,0.3118829582223035,0.23645120080381957
1995-03-23,0.3275954537261432,0.34304881153303834,0.31786760014462434,0.34304881153303834,-0.00023994614681617063,0.47266852263088976,0.4244575935570972,0.31137485367708767,0.23609806267072236
1995-03-24,0.3325906681246694,0.358220100616992,0.3325906681246694,0.3553864771667794,0.01498224866250514,0.457747242105649,0.412337848348912,0.3027479995905898,0.22958625491584433
1995-03-27,0.3484733996868298,0.36233478167604205,0.34588151728793265,0.3496242056321191,0.022352378567820227,0.4484290619127623,0.40515536753109577,0.2977688128462534,0.225839094034805
1995-03-28,0.35369001937671884,0.35369001937671884,0.33955206271508354,0.34147138916627645,0.0011641887790701268,0.45325174869552404,0.4106626116435958,0.3021520420581818,0.22919486757003538
1995-03-29,0.34525333279188336,0.35094781242038675,0.334458196215108,0.3391452716381442,-0.0123539568354661,0.45790709867789436,0.41594959695564515,0.3063946842452998,0.23244497811961384
1995-03-30,0.3404440117864808,0.35724161123765513,0.3317684482239454,0.3327052014074169,-0.006131451673708819,0.4591636344803524,0.4182490082921009,0.3084461792640267,0.23403661121679328
1995-03-31,0.3400985757105116,0.3400985757105116,0.32067525279759324,0.32415730508450297,-0.007910782207430493,0.4688273288146864,0.42820197975911967,0.3161748214184788,0.23993799931572102
1995-04-03,0.32936515081951695,0.3298184671659905,0.3169932380639214,0.3199120724727332,-0.016197379857354557,0.4757405105485856,0.4356667215420599,0.32209782841354145,0.24447093330428027
1995-04-04,0.3161616569155272,0.3414677121170059,0.3161616569155272,0.3414677121170059,-0.009342257358312624,0.46949529571274373,0.4310909539806601,0.31912841578446904,0.2422555463183577
1995-04-05,0.33482191235893866,0.3419681171036634,0.32921850706838396,0.34073601193218683,0.024813537257416054,0.45979105618438904,0.4233600869106537,0.31377623636839885,0.23822976721685404
1995-04-06,0.33643302760770016,0.3492962807796697,0.33643302760770016,0.3442821652503175,0.005849792811945723,0.45340045393496553,0.41870869106162684,0.3106649151915911,0.2359060948503904
1995-04-07,0.34464494527600975,0.34490968206002187,0.3345955213883871,0.3391807676763179,0.007857408504843327,0.4532894405494473,0.4199470630716116,0.3118756984296116,0.236863618959972
1995-04-10,0.3412257923527045,0.3412257923527045,0.331852376343498,0.332835695291545,-0.0066265734750559045,0.4569090108499748,0.4246044647422444,0.31565184008906355,0.239769735827779
