data,abertura,alta,baixa,fechamento,var_abertura,media_movel_180,media_movel_240,media_movel_360,media_movel_480
1995-02-27,3217.399902,3345.800049,3184.399902,3270.899902,0.0,4404.944448488889,3785.654587279167,2719.633892411111,2057.5877109645835
1995-02-28,3217.399902,3345.800049,3184.399902,3270.899902,0.0,4404.8305596,3792.9383366666666,2728.0908366,2064.2389607625
1995-03-01,3217.399902,3345.800049,3184.399902,3270.899902,0.0,4404.943892388889,3800.3408360541666,2736.526114113889,2070.890835558333
1995-03-02,3270.899902,3270.899902,2970.199951,2989.100098,53.5,4405.345557966667,3807.966252108333,2745.099169380556,2077.65458535625
1995-03-03,2989.100098,3018.100098,2841.699951,2988.0,-281.7998040000002,4404.507225177778,3814.4175023125,2752.882780763889,2083.832502225
1995-03-06,2988.0,3035.699951,2856.5,2867.199951,-1.100097999999889,4403.831669077777,3820.5525024125,2760.656669669445,2090.0072938916664
1995-03-07,2867.199951,2956.399902,2607.199951,2615.699951,-120.80004899999994,4401.026668261111,3826.8533355416666,2768.1450028833333,2095.9304187895837
1995-03-08,2615.699951,2701.100098,2351.300049,2363.300049,-251.5,4395.760556333334,3831.8020853374996,2774.9200027555557,2101.3279186874997
1995-03-09,2363.300049,2448.699951,2110.0,2138.300049,-252.3999020000001,4387.621112705555,3835.667918875,2781.0372250972223,2106.2002104562503
1995-03-10,2138.300049,2686.199951,2138.300049,2686.199951,-225.0,4378.231669077778,3838.4320856458335,2786.5594474472227,2110.6016688916666
1995-03-13,2686.199951,2787.899902,2542.399902,2670.899902,547.8999020000001,4373.026113522223,3843.2187520083335,2793.557502883333,2116.1441687916667
1995-03-14,2670.899902,3056.199951,2670.899902,3016.899902,-15.300048999999944,4367.970557966667,3847.4325017,2800.54305815,2121.6560435854167
1995-03-15,3016.899902,3082.800049,2901.399902,2939.399902,346.0,4364.929446038889,3853.1325011916665,2808.4669467583335,2127.88646005
1995-03-16,2939.399902,3141.899902,2915.199951,3141.699951,-77.5,4360.406667716667,3858.9104176541664,2816.1325020333334,2133.95458484375
1995-03-17,3141.699951,3164.699951,2899.199951,2981.100098,202.30004899999994,4356.166111888889,3865.7250009875,2824.366390786111,2140.442709741667
1995-03-20,2981.100098,3038.899902,2844.100098,2870.100098,-160.59985300000017,4350.2172240888885,3872.1320846291665,2832.1350021861113,2146.59541828125
1995-03-21,2870.100098,3034.600098,2870.100098,3006.100098,-111.0,4343.879447400001,3878.2529184708333,2839.5952802527777,2152.5137518208335
1995-03-22,3006.100098,3148.800049,2944.399902,3003.899902,136.0,4338.803336561111,3885.1716689791665,2847.3800027305556,2158.715002025
1995-03-23,3003.899902,3145.600098,2914.699951,3145.600098,-2.200195999999778,4334.153336561111,3892.0812520041663,2855.164446902778,2164.9108351541668
1995-03-24,3145.600098,3388.0,3145.600098,3361.199951,141.70019599999978,4329.315003772223,3899.8387522083335,2863.3519471583336,2171.397502025
1995-03-27,3361.199951,3494.899902,3336.199951,3372.300049,215.59985300000017,4325.322226266667,3907.9258351333333,2872.1288914666666,2178.3308352541667
1995-03-28,3372.300049,3372.300049,3237.5,3255.800049,11.100097999999889,4321.583337377778,3915.5120854375,2880.9050027305557,2185.2860436916667
